time,Latin America & Caribbean,Central & Eastern Europe & Central Asia,"East, Southeast Asia, & Pacific",North America,Northern & Western Europe,Middle East & North Africa,Sub-Saharan Africa,South Asia,total,underrepresented
2019-01-01,,,,,,,,,0.0,
2019-02-01,,,,,,,,,0.0,
2019-03-01,,,,,,,,,0.0,
2019-04-01,,,,,,,,,0.0,
2019-05-01,,,,,,,,,0.0,
2019-06-01,,,,,,,,,0.0,
2019-07-01,,,,,,,,,0.0,
2019-08-01,,,,,,,,,0.0,
2019-09-01,,,,,,,,,0.0,
2019-10-01,,,,,,,,,0.0,
2019-11-01,,,,,,,,,0.0,
2019-12-01,,,,,,,,,0.0,
2020-01-01,,,,,,,,,0.0,
2020-02-01,,,,,,,,,0.0,
2020-03-01,3199.0,17009.0,12001.0,9269.0,25433.0,2535.0,2239.0,4279.0,75964.0,0.3192696540466537
2020-04-01,3269.0,17315.0,12274.0,9487.0,25888.0,2611.0,2187.0,4342.0,77373.0,0.31901309242242126
2020-05-01,3400.0,17695.0,12822.0,9755.0,27263.0,2701.0,2185.0,4439.0,80260.0,0.31830301520059806
2020-06-01,3511.0,18147.0,13259.0,9990.0,28401.0,2765.0,2214.0,4442.0,82729.0,0.3165878954175682
2020-07-01,3531.0,18497.0,13671.0,10393.0,29574.0,2806.0,2305.0,4480.0,85257.0,0.31426158555895706
2020-08-01,3524.0,18607.0,13829.0,10738.0,30643.0,2871.0,2370.0,4489.0,87071.0,0.3110450092453285
2020-09-01,3515.0,18648.0,14043.0,11101.0,31633.0,2958.0,2424.0,4624.0,88946.0,0.30989589188946104
2020-10-01,3596.0,18589.0,14275.0,11273.0,32156.0,3030.0,2476.0,4725.0,90120.0,0.3118286728806036
2020-11-01,3676.0,18748.0,14648.0,11192.0,34819.0,3092.0,2505.0,4681.0,93361.0,0.30635918638403614
2020-12-01,3781.0,18738.0,15025.0,11058.0,37703.0,3140.0,2517.0,4544.0,96506.0,0.3005719851615444
2021-01-01,3943.0,18727.0,15461.0,10959.0,40764.0,3178.0,2525.0,4404.0,99961.0,0.2952251378037435
2021-02-01,4146.0,18508.0,15769.0,11017.0,41644.0,3203.0,2531.0,4399.0,101217.0,0.29686712706363555
2021-03-01,4348.0,18436.0,15880.0,11090.0,42849.0,3219.0,2524.0,4426.0,102772.0,0.2957712217335461
2021-04-01,4412.0,18295.0,15766.0,11131.0,44289.0,3179.0,2481.0,4353.0,103906.0,0.29056069909341137
2021-05-01,4406.0,18193.0,15336.0,11061.0,45524.0,3101.0,2390.0,4263.0,104274.0,0.28287013061741184
2021-06-01,4348.0,17937.0,14969.0,10964.0,45799.0,2985.0,2306.0,4153.0,103461.0,0.2779888073766927
2021-07-01,4321.0,17776.0,14708.0,10120.0,45166.0,2926.0,2264.0,4185.0,101466.0,0.27993613624268227
2021-08-01,4329.0,17721.0,14802.0,9459.0,44391.0,2874.0,2280.0,4280.0,100136.0,0.28526204362067586
2021-09-01,4346.0,17795.0,14936.0,8786.0,43840.0,2834.0,2325.0,4373.0,99235.0,0.29036126366705295
2021-10-01,4269.0,17894.0,15033.0,8777.0,43686.0,2780.0,2362.0,4377.0,99178.0,0.2905987214906532
2021-11-01,4189.0,17841.0,14985.0,8691.0,41363.0,2713.0,2393.0,4284.0,96459.0,0.2961258151131569
2021-12-01,4141.0,17739.0,14827.0,8713.0,38766.0,2664.0,2414.0,4185.0,93449.0,0.3021006110284754
2022-01-01,4070.0,17664.0,14619.0,8727.0,36094.0,2621.0,2441.0,4113.0,90349.0,0.30840407752161064
2022-02-01,3980.0,17737.0,14487.0,8699.0,35516.0,2592.0,2471.0,4058.0,89540.0,0.3081081081081081
2022-03-01,3818.0,18315.0,14420.0,8528.0,34326.0,2555.0,2485.0,4011.0,88458.0,0.3084966876935947
2022-04-01,3724.0,19140.0,14436.0,8437.0,32370.0,2535.0,2487.0,4005.0,87134.0,0.31201368007895885
2022-05-01,3613.0,19863.0,14459.0,8454.0,30352.0,2536.0,2483.0,3970.0,85730.0,0.3156537968039193
2022-06-01,3575.0,20436.0,14485.0,8939.0,29304.0,2566.0,2459.0,3922.0,85686.0,0.315185677940387
2022-07-01,3589.0,20890.0,14434.0,9978.0,29099.0,2596.0,2435.0,3740.0,86761.0,0.30882539389818003
